  Mid_Edge_x   Mid_Edge_y   Num u      Num_u - Exact_u    Num v      Num_v - Exact_v
      0.7500       0.1250       0.9741      -0.0103      -0.0108      -0.0108
      0.8750       0.0000       0.9618      -0.0382       0.0103       0.0103
      0.8750       0.1250       0.9619      -0.0225      -0.0070      -0.0070
      0.7500       0.3750       0.8482      -0.0112      -0.0151      -0.0151
      0.8750       0.2500       0.8997      -0.0378       0.0052       0.0052
      0.8750       0.3750       0.8376      -0.0218      -0.0113      -0.0113
      0.7500       0.6250       0.5990      -0.0104      -0.0175      -0.0175
      0.8750       0.5000       0.7138      -0.0362      -0.0008      -0.0008
      0.8750       0.6250       0.5899      -0.0194      -0.0150      -0.0150
      0.7500       0.8750       0.2351       0.0007      -0.0129      -0.0129
      0.8750       0.7500       0.4070      -0.0305      -0.0060      -0.0060
      0.8750       0.8750       0.2241      -0.0103      -0.0110      -0.0110
      0.8750       1.0000       0.0000       0.0000       0.0000       0.0000
      1.0000      -0.8750       0.2292      -0.0052       0.0000       0.0000
      1.0000      -0.6250       0.6042      -0.0052       0.0000       0.0000
      1.0000      -0.3750       0.8542      -0.0052       0.0000       0.0000
      1.0000      -0.1250       0.9792      -0.0052       0.0000       0.0000
      1.0000       0.1250       0.9792      -0.0052       0.0000       0.0000
      1.0000       0.3750       0.8542      -0.0052       0.0000       0.0000
      1.0000       0.6250       0.6042      -0.0052       0.0000       0.0000
      1.0000       0.8750       0.2292      -0.0052       0.0000       0.0000
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Elem_center_x Elem_center_y   Num p      Num_p - Exact_p 
     -0.8333      -0.9167      -0.0731      -1.7398 
     -0.8333      -0.6667       1.4667      -0.2000 
     -0.8333      -0.4167       1.4841      -0.1825 
     -0.8333      -0.1667       1.5083      -0.1584 
     -0.8333       0.0833       1.5237      -0.1430 
     -0.8333       0.3333       1.5320      -0.1346 
     -0.8333       0.5833       1.5347      -0.1319 
     -0.8333       0.8333       1.5296      -0.1371 
     -0.5833      -0.9167       1.1689       0.0023 
     -0.5833      -0.6667       1.0428      -0.1239 
     -0.5833      -0.4167       1.0591      -0.1075 
     -0.5833      -0.1667       1.0584      -0.1083 
     -0.5833       0.0833       1.0599      -0.1067 
     -0.5833       0.3333       1.0612      -0.1054 
     -0.5833       0.5833       1.0590      -0.1077 
     -0.5833       0.8333       1.0494      -0.1172 
     -0.3333      -0.9167       0.6661      -0.0005 
     -0.3333      -0.6667       0.6397      -0.0270 
     -0.3333      -0.4167       0.6037      -0.0630 
     -0.3333      -0.1667       0.5959      -0.0708 
     -0.3333       0.0833       0.5935      -0.0731 
     -0.3333       0.3333       0.5927      -0.0740 
     -0.3333       0.5833       0.5896      -0.0771 
     -0.3333       0.8333       0.5806      -0.0860 
     -0.0833      -0.9167       0.1692       0.0025 
     -0.0833      -0.6667       0.1584      -0.0083 
     -0.0833      -0.4167       0.1383      -0.0283 
     -0.0833      -0.1667       0.1279      -0.0388 
     -0.0833       0.0833       0.1251      -0.0416 
     -0.0833       0.3333       0.1257      -0.0409 
     -0.0833       0.5833       0.1256      -0.0411 
     -0.0833       0.8333       0.1195      -0.0472 
      0.1667      -0.9167      -0.3248       0.0085 
      0.1667      -0.6667      -0.3285       0.0048 
      0.1667      -0.4167      -0.3395      -0.0062 
      0.1667      -0.1667      -0.3466      -0.0133 
      0.1667       0.0833      -0.3467      -0.0134 
      0.1667       0.3333      -0.3407      -0.0073 
      0.1667       0.5833      -0.3331       0.0002 
      0.1667       0.8333      -0.3328       0.0005 
      0.4167      -0.9167      -0.8085       0.0248 
      0.4167      -0.6667      -0.8111       0.0222 
      0.4167      -0.4167      -0.8214       0.0119 
      0.4167      -0.1667      -0.8273       0.0060 
      0.4167       0.0833      -0.8238       0.0095 
      0.4167       0.3333      -0.8090       0.0244 
      0.4167       0.5833      -0.7858       0.0476 
      0.4167       0.8333      -0.7686       0.0647 
      0.6667      -0.9167      -1.2674       0.0659 
      0.6667      -0.6667      -1.2849       0.0485 
      0.6667      -0.4167      -1.3044       0.0289 
      0.6667      -0.1667      -1.3146       0.0187 
      0.6667       0.0833      -1.3099       0.0234 
      0.6667       0.3333      -1.2851       0.0482 
      0.6667       0.5833      -1.2348       0.0985 
      0.6667       0.8333      -1.1715       0.1619 
      0.9167      -0.9167      -1.6631       0.1702 
      0.9167      -0.6667      -1.7439       0.0894 
      0.9167      -0.4167      -1.7888       0.0446 
      0.9167      -0.1667      -1.8114       0.0219 
      0.9167       0.0833      -1.8103       0.0230 
      0.9167       0.3333      -1.7788       0.0546 
      0.9167       0.5833      -1.7001       0.1333 
      0.9167       0.8333      -1.5265       0.3068 
     -0.9167      -0.8333       1.6596      -0.1737 
     -0.9167      -0.5833       1.7132      -0.1201 
     -0.9167      -0.3333       1.7445      -0.0888 
     -0.9167      -0.0833       1.7618      -0.0715 
     -0.9167       0.1667       1.7715      -0.0619 
     -0.9167       0.4167       1.7771      -0.0563 
     -0.9167       0.6667       1.7806      -0.0527 
     -0.9167       0.9167       1.7829      -0.0505 
     -0.6667      -0.8333       0.9997      -0.3336 
     -0.6667      -0.5833       1.3439       0.0106 
     -0.6667      -0.3333       1.3079      -0.0255 
     -0.6667      -0.0833       1.3025      -0.0308 
     -0.6667       0.1667       1.3024      -0.0310 
     -0.6667       0.4167       1.3020      -0.0313 
     -0.6667       0.6667       1.2991      -0.0342 
     -0.6667       0.9167       1.2899      -0.0434 
     -0.4167      -0.8333       0.8331      -0.0003 
     -0.4167      -0.5833       0.8374       0.0041 
     -0.4167      -0.3333       0.8385       0.0052 
     -0.4167      -0.0833       0.8341       0.0008 
     -0.4167       0.1667       0.8319      -0.0014 
     -0.4167       0.4167       0.8297      -0.0036 
     -0.4167       0.6667       0.8251      -0.0082 
     -0.4167       0.9167       0.8148      -0.0185 
     -0.1667      -0.8333       0.3963       0.0630 
     -0.1667      -0.5833       0.3782       0.0449 
     -0.1667      -0.3333       0.3672       0.0338 
     -0.1667      -0.0833       0.3636       0.0302 
     -0.1667       0.1667       0.3619       0.0285 
     -0.1667       0.4167       0.3604       0.0271 
     -0.1667       0.6667       0.3570       0.0237 
     -0.1667       0.9167       0.3489       0.0155 
      0.0833      -0.8333      -0.0856       0.0810 
      0.0833      -0.5833      -0.0953       0.0714 
      0.0833      -0.3333      -0.1044       0.0622 
      0.0833      -0.0833      -0.1081       0.0586 
      0.0833       0.1667      -0.1078       0.0589 
      0.0833       0.4167      -0.1058       0.0608 
      0.0833       0.6667      -0.1053       0.0614 
      0.0833       0.9167      -0.1097       0.0570 
      0.3333      -0.8333      -0.5717       0.0950 
      0.3333      -0.5833      -0.5737       0.0930 
      0.3333      -0.3333      -0.5804       0.0862 
      0.3333      -0.0833      -0.5829       0.0837 
      0.3333       0.1667      -0.5786       0.0881 
      0.3333       0.4167      -0.5689       0.0977 
      0.3333       0.6667      -0.5592       0.1074 
      0.3333       0.9167      -0.5561       0.1105 
      0.5833      -0.8333      -1.0463       0.1203 
      0.5833      -0.5833      -1.0501       0.1166 
      0.5833      -0.3333      -1.0616       0.1051 
      0.5833      -0.0833      -1.0653       0.1014 
      0.5833       0.1667      -1.0552       0.1114 
      0.5833       0.4167      -1.0303       0.1363 
      0.5833       0.6667      -0.9981       0.1686 
      0.5833       0.9167      -0.9749       0.1917 
      0.8333      -0.8333      -1.4872       0.1795 
      0.8333      -0.5833      -1.5217       0.1450 
      0.8333      -0.3333      -1.5522       0.1145 
      0.8333      -0.0833      -1.5631       0.1036 
      0.8333       0.1667      -1.5488       0.1179 
      0.8333       0.4167      -1.5018       0.1649 
      0.8333       0.6667      -1.4138       0.2529 
      0.8333       0.9167      -1.3252       0.3415 
