  Mid_Edge_x   Mid_Edge_y   Num u      Num_u - Exact_u    Num v      Num_v - Exact_v
      0.2301       1.8603      -0.0141       0.0001      -0.2043      -0.0003
      0.2556       1.8339      -0.0159       0.0001      -0.2280       0.0001
      0.2377       1.9165      -0.0176       0.0001      -0.2029      -0.0003
      0.2636       1.8897      -0.0201       0.0001      -0.2267       0.0001
      0.2459       1.9722      -0.0213      -0.0000      -0.2003      -0.0003
      0.2722       1.9450      -0.0246       0.0000      -0.2243       0.0001
      0.2813       2.0000      -0.0293      -0.0001      -0.2203       0.0001
      0.3174       0.0272       0.0027       0.0001      -0.0003      -0.0000
      0.3438       0.0000       0.0000       0.0000      -0.0000       0.0000
      0.3269       0.0817       0.0084       0.0001      -0.0021      -0.0001
      0.3540       0.0539       0.0064      -0.0001      -0.0010      -0.0000
      0.3359       0.1367       0.0147       0.0000      -0.0059      -0.0001
      0.3639       0.1082       0.0135      -0.0001      -0.0039      -0.0000
      0.3440       0.1925       0.0214      -0.0000      -0.0117      -0.0001
      0.3730       0.1631       0.0211      -0.0001      -0.0090      -0.0000
      0.3509       0.2493       0.0282      -0.0000      -0.0198      -0.0001
      0.3810       0.2190       0.0292      -0.0002      -0.0163      -0.0000
      0.3563       0.3073       0.0350      -0.0000      -0.0301      -0.0002
      0.3875       0.2760       0.0373      -0.0002      -0.0260      -0.0000
      0.3600       0.3667       0.0415      -0.0001      -0.0426      -0.0002
      0.3924       0.3345       0.0451      -0.0002      -0.0381      -0.0000
      0.3619       0.4276       0.0472      -0.0001      -0.0571      -0.0002
      0.3954       0.3945       0.0524      -0.0002      -0.0525      -0.0000
      0.3619       0.4901       0.0520      -0.0001      -0.0736      -0.0002
      0.3964       0.4561       0.0587      -0.0002      -0.0691      -0.0000
      0.3600       0.5542       0.0554      -0.0001      -0.0915      -0.0002
      0.3954       0.5195       0.0637      -0.0002      -0.0876      -0.0000
      0.3563       0.6198       0.0574      -0.0001      -0.1106      -0.0003
      0.3924       0.5845       0.0670      -0.0002      -0.1076       0.0000
      0.3509       0.6868       0.0578      -0.0001      -0.1300      -0.0003
      0.3875       0.6510       0.0686      -0.0003      -0.1285       0.0000
      0.3440       0.7550       0.0567      -0.0001      -0.1494      -0.0003
